7,0
16,16,15,15,0,0,15,15,15,15
16,16,15,15,0,0,15,15,15,15
16,16,15,15,0,0,15,15,15,15
16,16,15,15,0,0,15,15,15,15
16,16,15,15,0,0,0,0,0,0
16,15,15,15,0,0,0,0,0,0
15,15,15,15,0,0,0,15,15,15
15,15,15,15,0,0,0,15,15,15
15,15,15,15,0,0,0,15,15,15
15,15,15,15,0,0,0,15,15,15
2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14,0
0,0,0,14,0,0,0,0,14,0
0,0,0,14,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0
0,0,0,0,0,0,10,10,10,10
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
10,10,10,10,0,0,0,10,10,10
0,0,0
